Event Name,Dorm,Group,Event Location,Start Date and Time,End Date and Time,Short Description,Event Tags
Fentry late night snacks and desserts,MacGregor House,F Entry,F Entry Lounge,8/29/2023 22:00:00,8/30/2023 0:00:00,"Late-night snacks with F Entry. Come for the food, stay for the fun facts","Food, Social"
Breakfast With Bentry,MacGregor House,B Entry,B Entry Main Lounge,8/29/2023 9:00:00,8/29/2023 10:00:00,Don’t feel like going to a dining hall? Join us for breakfast in Bentry,Food
Breakfast With Bentry,MacGregor House,B Entry,B Entry Main Lounge,8/30/2023 9:00:00,8/30/2023 10:30:00,Don’t feel like going to a dining hall? Join us for breakfast in Bentry,Food
Hashbrowns and Honeycakes with Hentry,MacGregor House,H Entry,H Entry 3rd Floor Kitchen,8/30/2023 9:00:00,8/30/2023 10:30:00,Hungry this lovely morning??  Head over to MacGregor's Hentry for some delightful honeycakes and hashbrowns made in our communal kitchen!,"Food, Social"
Ice Cream Welcome Social,Maseeh Hall,,Maseeh Courtyard,8/26/2023 21:00:00,8/26/2023 22:00:00,"After move-in, come meet your new classmates and seasoned MIT students living in Maseeh hall. Come get some ice cream in Maseeh's very own courtyard. Ask any questions you have about your new residence!","Food, Social"
Unlimited Coffee and Croissants,Maseeh Hall,,Maseeh Courtyard ,8/27/2023 10:00:00,8/27/2023 11:30:00,"Theorem: We are all better when caffeinated. Proof: Trivial QED. Start your morning right with freshly brewed, imported coffees/matcha and unlimited, freshly baked croissants. ",Food
Fruit Smoothies,Maseeh Hall,,Maseeh Courtyard,8/27/2023 15:00:00,8/27/2023 16:30:00,Hot day? Cold smoothie. Need we say more? (whey protein powder provided for gains),Food
Annual Maseeh Waffle Night,Maseeh Hall,,Maseeh Courtyard,8/27/2023 21:00:00,8/27/2023 23:00:00,"1000+ waffles, over 25lbs of fruit, and an ungodly amount of chocolate can only mean one thing: the annual Maseeh waffle night. Come check out the biggest event Maseeh hosts for Rex.",Signature
Maseeh Fruity Breakfast,Maseeh Hall,,Maseeh Courtyard,8/28/2023 10:00:00,8/28/2023 11:00:00,Come enjoy some of your favourite fruits and breakfast food at Maseeh Hall's very own breakfast event. ,"Food, Social"
Maseeh Building Tour 1,Maseeh Hall,,Meet in Maseeh Lobby at 2pm and 2:30pm,8/28/2023 14:00:00,8/28/2023 15:00:00,"Looking to possibly FYRE/move to Maseeh?  Join us on this tour of one of MIT's newest residence halls, the closest dorm to campus and one of only two dorms to serve lunch. This tour will show you a taste of Maseeh culture and some of the spacious rooms avaliable to residents. ",Tour
Arts & Crafts,Maseeh Hall,,Maseeh Courtyard,8/28/2023 15:00:00,8/28/2023 16:30:00,"Are you an artistic person or someone who wants to learn art? Come draw or make whatever you can dream of with our diverse art supply. Show us your creativity, or just show up to meet your peers and learn about Maseeh. ","Social, Art"
